code,title,selected_from,selected_row_index,source_count,source_files,publish_date,location,business_line
PR023660,商家结算产品经理,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,9,1,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,2026-03-09,上海,产品类
PR023668,产品经理（B端C端结合）,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,5,1,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,2026-03-14,上海,产品类
PR023686,用户体验产品经理,pinduoduo_jobs_产品经理_all_20260609_162018.csv,1,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv,2026-06-09,上海,产品类
PR023690,开放平台产品经理,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,8,1,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,2026-03-11,上海,产品类
PR023702,商品内容产品经理,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,6,1,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,2026-03-14,上海,产品类
PR023703,商家入驻产品经理,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,7,1,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,2026-03-14,上海,产品类
PR023782,Agent策略产品经理,pinduoduo_jobs_产品经理_part_12_23_all_20260609_164011.csv,4,1,pinduoduo_jobs_产品经理_part_12_23_all_20260609_164011.csv,2026-05-17,上海,产品类
PR023837,C端产品经理,pinduoduo_jobs_产品经理_part_12_23_all_20260609_164011.csv,11,1,pinduoduo_jobs_产品经理_part_12_23_all_20260609_164011.csv,2026-05-16,上海,产品类
PR023849,商家入驻产品经理,pinduoduo_jobs_产品经理_all_20260609_162018.csv,12,2,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_part_12_23_all_20260609_164011.csv,2026-05-18,上海,产品类
PR023850,商品内容产品经理,pinduoduo_jobs_产品经理_part_12_23_all_20260609_164011.csv,2,1,pinduoduo_jobs_产品经理_part_12_23_all_20260609_164011.csv,2026-05-18,上海,产品类
PR023910,用户体验产品经理,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,1,2,pinduoduo_jobs_产品经理_part_23_33_all_20260609_164104.csv | pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,2026-04-19,上海,产品类
PR023937,Agent智能服务产品经理,pinduoduo_jobs_产品经理_part_12_23_all_20260609_164011.csv,5,1,pinduoduo_jobs_产品经理_part_12_23_all_20260609_164011.csv,2026-05-17,上海,产品类
PR023962,物流产品经理,pinduoduo_jobs_产品经理_part_23_33_all_20260609_164104.csv,7,1,pinduoduo_jobs_产品经理_part_23_33_all_20260609_164104.csv,2026-04-24,上海,产品类
PR023990,电商产品经理（履约/交易方向）,pinduoduo_jobs_产品经理_part_23_33_all_20260609_164104.csv,1,1,pinduoduo_jobs_产品经理_part_23_33_all_20260609_164104.csv,2026-05-15,上海,产品类
PR024083,用户增长产品经理,pinduoduo_jobs_产品经理_all_20260609_162018.csv,10,2,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv,2026-05-26,上海,产品类
PR024115,物流代收点产品经理,pinduoduo_jobs_产品经理_all_20260609_162018.csv,3,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv,2026-06-07,上海,产品类
